Index,Identification,Name,Quantity,Unit,Contract,Rate,Material Rate,Labor Rate,Subtotal,Property,Query
6,DB.2.4.5.1.3,Revêtement sol: (reserve) - gres cerame (30*60cm) - choix sous validation d'echantillons par l'architecte et le maitre d'ouvrage - ,,,,,,,,,
6,DB.2.4.5.1.4,Revêtement mural cuisine - carreaux - effet vitrage noir,,,,,,,,,
5,DB.2.4.5.2,Plinthes,,,,,,,,,
6,DB.2.4.5.2.1,Plinthes - duropolymer orac decor ref : sx157,,,,,,,,,
6,DB.2.4.5.2.2,Plinthes marches - - duropolymer orac decor ref : sx157,,,,,,,,,
,,,,,,,,,,,
4,DB.2.4.6,Peinture,,,,,,,,,
5,DB.2.4.6.1,Fourniture et pose peinture murs - marmorex astral y/c preparation (5 couches),,,,,,,,,
5,DB.2.4.6.2,Fourniture et pose peinture contremarche escalier - marmorex astral y/c preparation (5 couches,,,,,,,,,
5,DB.2.4.6.3,Fourniture et pose peinture murs cuisine - alpha tacto astral y/c preparation (5 couches),,,,,,,,,
5,DB.2.4.6.4,Foruniture et pose peinture faux-plafond - jotun acrylique mate blanc y/c preparation (5 couches),,,,,,,,,
5,DB.2.4.6.5,Fourniture et pose peinture murs sdb - jotun acrylique semi-brillant blanc special piece humide y/c preparation (5 couches),,,,,,,,,
5,DB.2.4.6.6,Fourniture et pose peinture faux-plafond sdb + cuisine - jotun acrylique semi-brillant blanc special piece humide y/c preparation (5 couches),,,,,,,,,
,,,,,,,,,,,
4,DB.2.4.7,Faux plafonds,,,,,,,,,
5,DB.2.4.7.1,Type 1,,,,,,,,,
5,DB.2.4.7.2,Type 2,,,,,,,,,
5,DB.2.4.7.3,Type 3 – hydrofuge – exterieur,,,,,,,,,
5,DB.2.4.7.4,Trappes d’acces,,,,,,,,,
,,,,,,,,,,,
4,DB.2.4.8,Cuisine,1,unit,,,,,,,
,,,,,,,,,,,
3,DB.2.5,Facade,,,,,,,,,
4,DB.2.5.1,Revetement exterieur ,,,,,,,,,
5,DB.2.5.1.1,Revetement mural: plus value enduit mural hydrofuge (monocouche),,,,,,,,,
5,DB.2.5.1.2,Revetement mural: pierre volcanique grise ,,,,,,,,,
5,DB.2.5.1.3,Revetement mural: bardage en bois iroko ou tole alu section carre ou rectangulaire avec habillage bois technowood (voir detail architecte),,,,,,,,,
5,DB.2.5.1.4,Revêtement sol: terrasses et cour - tech - choix sous validation d'echantillons par l'architecte et le maitre d'ouvrage ,,,,,,,,,
5,DB.2.5.1.5,Revetement sol: seuill entree en pierre de taza,,,,,,,,,
5,DB.2.5.1.6,Revetement sol: sous bassement perimetre villa en pierre de taza ,,,,,,,,,
,,,,,,,,,,,
4,DB.2.5.2,Menuiserie aluminium,,,,,,,,,
5,DB.2.5.2.1,Fenetres,,,,,,,,,
6,DB.2.5.2.1.1,F1,,,,,,,,,
6,DB.2.5.2.1.2,F2,,,,,,,,,
,,,,,,,,,,,
5,DB.2.5.2.2,Chassis ouvrants,,,,,,,,,
6,DB.2.5.2.2.1,Ch1,,,,,,,,,
6,DB.2.5.2.2.2,Ch2,,,,,,,,,
6,DB.2.5.2.2.3,Ch3,,,,,,,,,
,,,,,,,,,,,
5,DB.2.5.2.3,Portes coulissantes/ mur rideau,,,,,,,,,
6,DB.2.5.2.3.1,P4,,,,,,,,,
6,DB.2.5.2.3.2,P5,,,,,,,,,
6,DB.2.5.2.3.3,P6,,,,,,,,,
,,,,,,,,,,,
5,DB.2.5.2.4,Volets roulants,,,,,,,,,
6,DB.2.5.2.4.1,Type 1,,,,,,,,,
6,DB.2.5.2.4.2,Type 2,,,,,,,,,
6,DB.2.5.2.4.3,Type 3,,,,,,,,,
3,DB.2.6,Exterieur,,,,,,,,,
4,DB.2.6.1,Cloture,,,,,,,,,
4,DB.2.6.2,Piscine,,,,,,,,,
4,DB.2.6.3,Jardin,,,,,,,,,
